"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"4859",7019.177186,"Yes","Basic","College","Retired","M",26806,"Suburban","Married",63,32,19,0,2,"Personal Auto","Personal L2","Offer1","Agent",302.4,"Four-Door Car","Medsize",4760.87812586414
"4861",4864.382304,"No","Basic","College","Employed","M",88079,"Rural","Married",61,16,37,0,3,"Personal Auto","Personal L2","Offer2","Agent",121.88814,"Two-Door Car","Medsize",4732.24336667571
"4862",8569.422637,"No","Basic","Bachelor","Employed","F",99803,"Urban","Married",71,1,67,0,2,"Personal Auto","Personal L2","Offer2","Call Center",189.143402,"Four-Door Car","Small",4860.54734396653
"4864",12944.18562,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",191,27,49,0,3,"Personal Auto","Personal L3","Offer1","Agent",1375.2,"Luxury Car","Medsize",10899.8055341682
"4865",2649.207711,"No","Basic","College","Employed","F",36283,"Urban","Divorced",68,14,63,1,1,"Personal Auto","Personal L2","Offer1","Call Center",291.410965,"Four-Door Car","Medsize",4511.55902390755
"4866",4582.899414,"No","Basic","Bachelor","Employed","F",66991,"Urban","Married",115,1,71,0,1,"Personal Auto","Personal L3","Offer2","Branch",399.617715,"SUV","Medsize",7149.08764892019
"4867",2691.70088,"No","Basic","Bachelor","Employed","M",34322,"Suburban","Married",70,20,46,2,1,"Corporate Auto","Corporate L2","Offer2","Agent",336,"Four-Door Car","Medsize",4188.19044257707
"4868",2466.376803,"No","Basic","College","Employed","F",44855,"Rural","Married",63,3,71,1,1,"Personal Auto","Personal L3","Offer2","Branch",103.607499,"Four-Door Car","Medsize",4020.83687959883
"4869",9277.472901,"No","Premium","Bachelor","Employed","M",97729,"Rural","Married",115,4,48,1,7,"Personal Auto","Personal L1","Offer3","Branch",221.047584,"Four-Door Car","Large",8601.11022000792
"4870",4142.561212,"No","Premium","High School or Below","Employed","F",48263,"Suburban","Married",104,2,32,0,1,"Personal Auto","Personal L3","Offer2","Branch",674.863718,"Two-Door Car","Small",6033.38988552317
"4872",9409.143498,"No","Basic","Master","Employed","M",76847,"Rural","Single",118,16,52,0,3,"Corporate Auto","Corporate L3","Offer1","Call Center",31.58501,"SUV","Medsize",8200.66680198572
"4873",2581.022016,"No","Basic","High School or Below","Employed","M",35795,"Suburban","Married",65,25,53,0,1,"Personal Auto","Personal L3","Offer1","Agent",312,"Four-Door Car","Medsize",4525.8643416712
"4874",7637.111954,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",71,1,29,0,2,"Personal Auto","Personal L2","Offer1","Call Center",340.8,"Four-Door Car","Large",5124.1958873479
"4876",2302.818965,"No","Basic","College","Unemployed","F",0,"Suburban","Single",63,13,48,0,1,"Corporate Auto","Corporate L2","Offer3","Web",732.638975,"Four-Door Car","Large",4435.03490130026
"4877",8716.368952,"No","Basic","Bachelor","Employed","F",28743,"Suburban","Single",112,9,13,0,3,"Personal Auto","Personal L3","Offer3","Call Center",537.6,"SUV","Medsize",7928.1784808729
"4878",5207.985921,"No","Basic","College","Employed","F",81839,"Rural","Married",65,23,39,1,4,"Personal Auto","Personal L1","Offer1","Agent",74.666163,"Four-Door Car","Medsize",5352.84453704278
"4879",2719.506996,"Yes","Basic","College","Retired","F",14030,"Suburban","Married",72,11,3,0,1,"Personal Auto","Personal L2","Offer2","Branch",345.6,"Two-Door Car","Large",4580.11883958812
"4880",2452.726922,"No","Basic","College","Employed","F",32764,"Suburban","Married",61,30,23,0,1,"Personal Auto","Personal L2","Offer4","Web",292.953446,"Two-Door Car","Small",4344.20546092932
"4881",3829.090645,"No","Extended","Master","Employed","M",74775,"Suburban","Divorced",95,18,35,0,1,"Personal Auto","Personal L1","Offer2","Web",676.658911,"Four-Door Car","Small",5624.65740385393
"4882",8873.525122,"No","Premium","Bachelor","Employed","F",53503,"Suburban","Single",114,3,43,0,7,"Personal Auto","Personal L1","Offer1","Agent",547.2,"Four-Door Car","Medsize",8706.24497814251
"4883",15925.05739,"No","Extended","College","Employed","M",34455,"Suburban","Married",135,8,69,0,2,"Personal Auto","Personal L2","Offer2","Call Center",648,"SUV","Medsize",8383.22527719347
"4884",2952.360309,"No","Basic","High School or Below","Employed","M",52198,"Suburban","Married",74,2,62,0,1,"Personal Auto","Personal L3","Offer1","Branch",355.2,"Two-Door Car","Small",4934.59682334043
"4885",15923.95503,"No","Extended","College","Employed","F",64429,"Rural","Married",133,1,58,2,2,"Personal Auto","Personal L3","Offer3","Call Center",222.080015,"SUV","Medsize",8254.94542356377
"4886",7285.030983,"Yes","Basic","High School or Below","Employed","M",44788,"Suburban","Married",61,6,48,0,2,"Personal Auto","Personal L3","Offer2","Agent",386.031248,"Four-Door Car","Small",4406.40014211183
"4890",9035.671134,"Yes","Premium","High School or Below","Employed","F",34337,"Suburban","Married",113,20,44,0,9,"Corporate Auto","Corporate L1","Offer2","Web",542.4,"Four-Door Car","Large",9048.86816370343
"4892",2549.080421,"No","Basic","College","Employed","M",52980,"Urban","Married",64,33,93,0,1,"Personal Auto","Personal L2","Offer1","Branch",191.945693,"Four-Door Car","Large",4480.44962148573
"4893",8954.840118,"No","Basic","Bachelor","Employed","F",97736,"Rural","Married",74,19,22,0,2,"Personal Auto","Personal L2","Offer4","Agent",60.090984,"Four-Door Car","Medsize",5260.44004790431
"4894",2467.97792,"No","Basic","College","Unemployed","F",0,"Urban","Married",67,0,14,0,1,"Corporate Auto","Corporate L2","Offer2","Call Center",222.903462,"Two-Door Car","Medsize",4353.04523866077
"4895",7700.619936,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",73,18,16,1,2,"Corporate Auto","Corporate L1","Offer1","Branch",792.868448,"Four-Door Car","Medsize",5064.47584939878
"4896",3776.665506,"No","Extended","College","Employed","F",68727,"Urban","Married",94,19,76,0,1,"Corporate Auto","Corporate L3","Offer4","Call Center",386.520235,"Two-Door Car","Large",5842.89122704983
"4897",8044.872393,"Yes","Basic","Bachelor","Employed","M",71391,"Urban","Married",67,29,39,0,2,"Personal Auto","Personal L3","Offer2","Agent",284.000172,"Four-Door Car","Medsize",4678.88846322465
"4898",5029.671927,"No","Basic","College","Employed","F",62271,"Rural","Married",63,30,52,0,3,"Personal Auto","Personal L3","Offer4","Agent",25.478179,"Four-Door Car","Medsize",5086.72135042802
"4900",6179.699689,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",86,12,96,0,8,"Corporate Auto","Corporate L3","Offer3","Call Center",412.8,"Four-Door Car","Medsize",7760.47603751323
"4901",5678.050167,"Yes","Extended","Bachelor","Unemployed","F",0,"Suburban","Married",76,8,44,0,3,"Personal Auto","Personal L3","Offer2","Agent",364.8,"Four-Door Car","Small",5413.46416945776
"4903",3142.87734,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Divorced",86,17,35,0,1,"Personal Auto","Personal L3","Offer4","Branch",412.8,"Four-Door Car","Small",5479.57346556607
"4906",12105.29422,"No","Basic","College","Employed","M",33345,"Suburban","Divorced",102,34,37,0,2,"Personal Auto","Personal L3","Offer2","Call Center",694.078608,"SUV","Medsize",6884.53951107295
"4907",11971.97765,"No","Premium","College","Employed","F",64195,"Urban","Divorced",158,0,27,4,6,"Personal Auto","Personal L1","Offer1","Branch",618.288849,"SUV","Medsize",10392.5873698159
"4908",15328.45723,"No","Extended","College","Unemployed","F",0,"Suburban","Married",138,1,34,0,2,"Corporate Auto","Corporate L2","Offer1","Agent",688.828746,"SUV","Small",8783.11798113124
"4910",4981.825724,"No","Basic","High School or Below","Employed","M",33176,"Suburban","Married",63,22,75,0,3,"Corporate Auto","Corporate L3","Offer3","Branch",302.4,"Four-Door Car","Medsize",5086.72135042802
"4911",14635.45158,"Yes","Extended","Bachelor","Unemployed","F",0,"Suburban","Divorced",139,5,56,0,2,"Personal Auto","Personal L3","Offer1","Call Center",667.2,"SUV","Medsize",8828.53270131671
"4914",8111.651948,"No","Basic","High School or Below","Employed","M",30622,"Suburban","Married",68,22,86,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",326.4,"Four-Door Car","Small",4987.95172679149
"4918",3919.366722,"Yes","Extended","High School or Below","Employed","F",66676,"Suburban","Married",97,0,40,0,1,"Corporate Auto","Corporate L3","Offer3","Agent",558.099357,"Four-Door Car","Small",5979.13538760624
"4919",7286.155383,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",69,4,83,1,2,"Personal Auto","Personal L3","Offer2","Branch",669.716478,"Four-Door Car","Small",4619.16842527553
"4920",7589.634,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",69,30,97,0,2,"Personal Auto","Personal L3","Offer1","Branch",331.2,"Four-Door Car","Small",5033.36644697696
"4921",9032.370378,"No","Extended","Bachelor","Unemployed","F",0,"Rural","Married",82,24,21,0,2,"Personal Auto","Personal L1","Offer1","Branch",157.208336,"Four-Door Car","Medsize",5623.75780938807
"4924",2721.749756,"No","Basic","Bachelor","Medical Leave","M",22885,"Suburban","Married",73,20,46,0,1,"Corporate Auto","Corporate L2","Offer2","Web",386.245297,"Four-Door Car","Medsize",4625.53355977359
"4925",5230.092742,"No","Basic","High School or Below","Employed","M",32630,"Urban","Married",66,26,40,0,3,"Personal Auto","Personal L2","Offer1","Call Center",202.961374,"Four-Door Car","Medsize",5222.96551098443
"4926",6273.911874,"Yes","Extended","College","Retired","F",18577,"Suburban","Divorced",86,21,76,0,6,"Personal Auto","Personal L2","Offer1","Branch",412.8,"Four-Door Car","Medsize",7108.78958838547
"4927",5866.068903,"No","Basic","High School or Below","Employed","M",75952,"Suburban","Married",73,5,17,0,3,"Personal Auto","Personal L2","Offer2","Branch",350.4,"Two-Door Car","Medsize",5277.22000890135
"4929",8722.895091,"No","Basic","College","Employed","F",25680,"Urban","Divorced",73,10,93,0,2,"Personal Auto","Personal L3","Offer1","Agent",332.40907,"Two-Door Car","Medsize",5215.02532771884
"4930",8178.521899,"No","Premium","Bachelor","Unemployed","M",0,"Suburban","Single",112,17,29,0,7,"Personal Auto","Personal L3","Offer1","Call Center",806.4,"Four-Door Car","Medsize",8615.41553777157
"4932",2442.216651,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",74,15,9,3,1,"Personal Auto","Personal L1","Offer4","Branch",532.8,"Four-Door Car","Medsize",4482.94838838025
"4934",6366.225775,"Yes","Extended","High School or Below","Employed","M",44368,"Suburban","Married",80,5,72,0,3,"Personal Auto","Personal L2","Offer2","Call Center",384,"Two-Door Car","Large",5595.12305019964
"4936",2395.57,"Yes","Basic","Doctor","Disabled","F",21986,"Suburban","Divorced",63,1,9,0,1,"Personal Auto","Personal L3","Offer2","Branch",333.696228,"Two-Door Car","Medsize",4171.38635791889
"4938",12780.276,"No","Basic","Master","Employed","F",33514,"Urban","Married",105,33,2,0,2,"Personal Auto","Personal L2","Offer1","Branch",265.215014,"Sports Car","Medsize",6668.29637365388
"4939",3906.669584,"No","Extended","College","Employed","F",60230,"Rural","Married",98,13,91,0,1,"Personal Auto","Personal L2","Offer2","Web",8.129056,"Four-Door Car","Small",5760.90156441034
"4940",2594.591182,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",70,17,47,1,1,"Corporate Auto","Corporate L2","Offer2","Agent",494.196873,"Four-Door Car","Medsize",4338.73992089712
"4941",5267.848664,"No","Basic","College","Employed","M",40818,"Suburban","Married",66,6,3,0,6,"Personal Auto","Personal L2","Offer4","Call Center",316.8,"Four-Door Car","Medsize",6200.49518467607
"4942",9095.049868,"Yes","Basic","College","Employed","M",37937,"Suburban","Married",116,11,42,0,5,"Personal Auto","Personal L3","Offer2","Call Center",556.8,"SUV","Medsize",8497.87526736117
"4943",7122.273163,"No","Extended","College","Employed","F",64571,"Suburban","Divorced",89,34,91,0,6,"Corporate Auto","Corporate L3","Offer1","Call Center",452.115601,"Four-Door Car","Small",7245.03374894188
"4944",9117.441695,"No","Extended","Bachelor","Unemployed","M",0,"Urban","Married",126,29,61,0,3,"Corporate Auto","Corporate L3","Offer1","Branch",421.906803,"SUV","Medsize",8563.98456346948
"4946",3486.699561,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",95,12,5,0,1,"Corporate Auto","Corporate L3","Offer1","Branch",684,"Four-Door Car","Medsize",5888.3059472353
"4947",7297.687812,"No","Extended","Bachelor","Employed","M",24672,"Suburban","Married",93,9,44,0,9,"Personal Auto","Personal L2","Offer4","Branch",669.6,"Two-Door Car","Medsize",8404.2223033754
"4948",2502.209885,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Divorced",74,26,95,1,1,"Corporate Auto","Corporate L1","Offer1","Agent",355.2,"Four-Door Car","Medsize",4784.04734502037
"4949",9955.490835,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",96,1,79,0,2,"Personal Auto","Personal L3","Offer2","Call Center",460.8,"Four-Door Car","Large",5995.91534860328
"4950",7094.158873,"No","Basic","Bachelor","Employed","M",72878,"Rural","Married",61,0,58,2,2,"Corporate Auto","Corporate L3","Offer2","Agent",45.463345,"Two-Door Car","Medsize",4105.30118547172
"4951",12280.76661,"Yes","Premium","College","Employed","M",88340,"Suburban","Married",102,16,1,0,2,"Personal Auto","Personal L3","Offer1","Branch",489.6,"Two-Door Car","Medsize",6532.05221309747
"4953",4904.894731,"Yes","Extended","College","Retired","F",12902,"Suburban","Divorced",139,3,51,0,1,"Personal Auto","Personal L3","Offer1","Agent",667.2,"Sports Car","Medsize",7886.55363539598
"4955",2689.16845,"No","Basic","College","Employed","F",26554,"Suburban","Married",68,18,86,1,1,"Personal Auto","Personal L2","Offer3","Web",391.687368,"Two-Door Car","Small",4511.55902390755
"4958",5705.547071,"No","Basic","High School or Below","Employed","F",76522,"Suburban","Married",71,31,71,0,6,"Personal Auto","Personal L2","Offer2","Branch",340.8,"Four-Door Car","Medsize",6163.92024222205
"4961",4101.935985,"No","Premium","High School or Below","Unemployed","M",0,"Suburban","Single",115,1,34,0,1,"Personal Auto","Personal L1","Offer1","Branch",552,"Two-Door Car","Medsize",6796.6003509447
"4962",2537.929538,"No","Basic","High School or Below","Employed","M",25506,"Suburban","Married",65,10,16,0,1,"Personal Auto","Personal L3","Offer3","Branch",312,"Two-Door Car","Medsize",4525.8643416712
"4965",6758.807188,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",191,22,38,0,1,"Personal Auto","Personal L2","Offer3","Web",2042.569089,"Luxury Car","Medsize",10248.1190850404
"4967",2847.965582,"No","Basic","High School or Below","Employed","F",96357,"Urban","Married",71,4,69,1,1,"Personal Auto","Personal L3","Offer2","Branch",238.245103,"Four-Door Car","Medsize",4384.15464108259
"4968",11513.35549,"No","Basic","College","Medical Leave","M",16266,"Suburban","Married",100,11,23,0,2,"Special Auto","Special L1","Offer2","Web",1177.323534,"SUV","Medsize",6793.71007070201
"4969",7588.35586,"No","Extended","High School or Below","Employed","M",76516,"Suburban","Married",95,13,15,0,9,"Personal Auto","Personal L1","Offer2","Branch",661.008979,"Two-Door Car","Medsize",8231.40320036497
"4970",2389.310128,"No","Basic","College","Employed","F",20484,"Urban","Married",61,3,89,0,1,"Personal Auto","Personal L3","Offer2","Agent",181.218317,"Four-Door Car","Medsize",4080.55691754795
"4974",8476.80656,"No","Premium","High School or Below","Employed","F",55217,"Suburban","Married",107,9,9,2,9,"Personal Auto","Personal L3","Offer1","Branch",696.115596,"Two-Door Car","Medsize",8738.92942933186
"4975",10110.76997,"No","Extended","College","Employed","M",76276,"Rural","Single",86,24,19,0,2,"Corporate Auto","Corporate L3","Offer4","Web",93.309811,"Two-Door Car","Large",5805.41669012995
"4976",2476.480866,"No","Basic","College","Employed","F",47918,"Urban","Married",62,2,51,0,1,"Corporate Auto","Corporate L3","Offer2","Call Center",246.256648,"Two-Door Car","Medsize",4125.97163773342
"4977",4462.997006,"Yes","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",73,35,52,3,5,"Corporate Auto","Corporate L3","Offer1","Web",350.4,"Two-Door Car","Medsize",5740.9065664503
"4979",2496.140812,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",72,14,58,0,1,"Corporate Auto","Corporate L2","Offer4","Web",518.4,"Two-Door Car","Medsize",4843.76738296949
"4980",6861.278936,"No","Basic","College","Unemployed","F",0,"Suburban","Single",71,11,21,3,2,"Personal Auto","Personal L3","Offer4","Call Center",476.197355,"Two-Door Car","Medsize",4672.54745238772
"4983",9670.181104,"No","Extended","Master","Disabled","F",20942,"Suburban","Divorced",84,12,59,0,2,"Personal Auto","Personal L2","Offer1","Agent",403.2,"Four-Door Car","Medsize",5714.58724975901
"4984",5088.687654,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",71,31,52,0,4,"Corporate Auto","Corporate L2","Offer1","Branch",511.2,"Four-Door Car","Small",5775.88233647566
"4985",7095.134789,"No","Premium","High School or Below","Employed","F",74298,"Rural","Married",177,9,81,0,1,"Corporate Auto","Corporate L1","Offer2","Call Center",161.537767,"Sports Car","Medsize",9348.66445906248
"4986",5437.908293,"No","Extended","College","Employed","F",23339,"Suburban","Married",138,8,31,0,1,"Corporate Auto","Corporate L3","Offer2","Branch",666.307195,"SUV","Medsize",8193.626213186
"4987",5033.693296,"No","Extended","College","Employed","F",77031,"Suburban","Married",125,17,17,0,1,"Personal Auto","Personal L3","Offer2","Call Center",600,"SUV","Medsize",7603.23485077489
"4988",14019.83314,"No","Basic","College","Employed","M",31739,"Suburban","Divorced",71,10,29,0,2,"Personal Auto","Personal L3","Offer4","Call Center",469.882367,"Two-Door Car","Small",5124.1958873479
"4989",4877.61238,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",66,4,30,0,5,"Personal Auto","Personal L3","Offer2","Agent",420.39344,"Two-Door Car","Medsize",5611.00341673082
"4991",3771.617797,"No","Basic","College","Unemployed","F",0,"Suburban","Married",103,25,16,1,1,"Personal Auto","Personal L3","Offer1","Branch",685.227276,"SUV","Medsize",6717.21007175585
"4992",5824.817366,"No","Basic","Bachelor","Employed","M",40964,"Suburban","Married",74,7,57,0,8,"Special Auto","Special L2","Offer3","Agent",355.2,"Two-Door Car","Large",7215.49939528759
"4993",4379.92784,"No","Basic","Doctor","Employed","F",40896,"Urban","Married",109,3,61,0,1,"Personal Auto","Personal L3","Offer1","Branch",319.294289,"Sports Car","Medsize",6524.11202983188
"4994",5793.157728,"No","Basic","Bachelor","Employed","M",95733,"Suburban","Married",72,19,82,0,3,"Corporate Auto","Corporate L3","Offer1","Agent",475.423848,"Two-Door Car","Small",5495.45383209725
"4995",2725.680297,"No","Basic","High School or Below","Employed","F",39161,"Suburban","Married",71,8,84,3,1,"Personal Auto","Personal L3","Offer1","Branch",340.8,"Four-Door Car","Medsize",4346.70422782384
"4997",8502.237137,"No","Premium","Bachelor","Medical Leave","F",12843,"Suburban","Single",111,6,47,0,3,"Corporate Auto","Corporate L2","Offer2","Branch",1143.494486,"Four-Door Car","Small",7002.97937594921
"4998",2476.588891,"No","Basic","College","Employed","F",71551,"Suburban","Single",62,10,19,0,1,"Personal Auto","Personal L3","Offer3","Branch",297.6,"Four-Door Car","Medsize",4389.62018111479
"5000",5897.986595,"No","Basic","High School or Below","Employed","F",77835,"Rural","Divorced",74,2,30,1,4,"Personal Auto","Personal L3","Offer3","Web",43.618784,"Four-Door Car","Medsize",5761.57701871201
"5005",5601.68063,"No","Basic","College","Disabled","F",11920,"Suburban","Married",74,20,27,0,7,"Personal Auto","Personal L3","Offer1","Call Center",355.2,"Four-Door Car","Medsize",6889.65617072371
"5006",3459.037949,"No","Extended","High School or Below","Employed","M",97162,"Rural","Married",86,0,63,0,1,"Personal Auto","Personal L1","Offer3","Web",32.715179,"Four-Door Car","Medsize",5479.57346556607
"5007",9061.951591,"No","Basic","College","Employed","M",42743,"Rural","Married",117,5,86,1,6,"Personal Auto","Personal L3","Offer1","Call Center",101.288057,"SUV","Medsize",8982.23227717183
"5009",2659.70565,"Yes","Extended","College","Unemployed","F",0,"Suburban","Divorced",87,4,4,3,1,"Personal Auto","Personal L1","Offer2","Agent",420.041981,"Four-Door Car","Medsize",4809.69120741
"5010",12332.51669,"No","Basic","College","Employed","M",85789,"Rural","Married",105,18,54,2,2,"Personal Auto","Personal L1","Offer1","Agent",122.302824,"Sports Car","Medsize",6367.19741701376
"5015",7583.962264,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",102,27,29,0,5,"Personal Auto","Personal L3","Offer2","Call Center",848.161322,"Sports Car","Medsize",7245.93334340774
"5016",2685.901421,"No","Basic","College","Employed","F",58166,"Rural","Married",67,3,19,0,1,"Personal Auto","Personal L2","Offer2","Call Center",91.914969,"Four-Door Car","Medsize",4353.04523866077
"5018",8622.835375,"Yes","Basic","Bachelor","Employed","M",97361,"Suburban","Single",73,6,85,0,2,"Personal Auto","Personal L1","Offer1","Agent",350.4,"Four-Door Car","Medsize",5215.02532771884
"5020",4277.560211,"No","Basic","College","Employed","F",75921,"Suburban","Married",106,32,4,0,1,"Personal Auto","Personal L3","Offer3","Agent",609.680428,"SUV","Medsize",7004.00371063232
"5022",4770.550911,"Yes","Basic","College","Medical Leave","F",12964,"Suburban","Single",65,2,37,0,4,"Personal Auto","Personal L3","Offer1","Web",362.774545,"Two-Door Car","Medsize",5503.39401536284
"5024",8265.379176,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Single",77,17,41,0,2,"Corporate Auto","Corporate L3","Offer2","Agent",554.4,"Two-Door Car","Small",5133.03566507935
"5029",11572.10339,"No","Premium","High School or Below","Unemployed","F",0,"Suburban","Single",166,4,49,0,4,"Special Auto","Special L3","Offer1","Agent",1195.2,"Sports Car","Medsize",10090.2807540953
"5030",3645.464325,"No","Extended","College","Medical Leave","F",19121,"Suburban","Married",95,1,18,0,1,"Personal Auto","Personal L2","Offer2","Agent",915.188647,"Four-Door Car","Small",5624.65740385393
"5032",10425.98532,"No","Extended","High School or Below","Employed","F",68563,"Urban","Married",131,6,44,1,3,"Personal Auto","Personal L2","Offer4","Call Center",350.097052,"SUV","Small",8640.50868607677
"5033",7025.04419,"No","Extended","High School or Below","Employed","M",24726,"Rural","Divorced",92,18,75,1,5,"Personal Auto","Personal L3","Offer1","Call Center",150.693773,"Four-Door Car","Medsize",6904.88520661435
"5034",7388.733207,"No","Extended","College","Unemployed","F",0,"Suburban","Married",97,31,24,0,3,"Personal Auto","Personal L3","Offer4","Call Center",638.371157,"Four-Door Car","Medsize",6630.821836734
"5035",2927.734329,"No","Basic","Bachelor","Employed","M",51991,"Rural","Married",73,4,95,0,1,"Personal Auto","Personal L3","Offer2","Web",124.376921,"Four-Door Car","Medsize",4625.53355977359
"5036",8356.181097,"No","Basic","Bachelor","Unemployed","M",0,"Rural","Married",118,25,29,0,7,"Personal Auto","Personal L3","Offer1","Agent",153.176419,"SUV","Medsize",9504.03970024124
"5037",8718.056722,"No","Basic","High School or Below","Employed","M",89096,"Rural","Single",111,1,50,0,3,"Personal Auto","Personal L1","Offer2","Branch",64.98293,"SUV","Large",7619.11521730606
"5041",2818.31302,"No","Basic","College","Employed","M",88816,"Rural","Married",70,33,9,0,1,"Personal Auto","Personal L2","Offer3","Branch",164.282841,"Two-Door Car","Medsize",4752.93794259855
"5044",14439.80313,"No","Basic","College","Employed","M",58452,"Suburban","Single",186,7,13,0,5,"Corporate Auto","Corporate L3","Offer4","Branch",892.8,"Luxury Car","Medsize",11324.4183823686
"5045",5121.838914,"No","Extended","College","Employed","F",57161,"Suburban","Married",127,20,92,0,1,"Personal Auto","Personal L1","Offer1","Agent",609.6,"Sports Car","Medsize",7341.57699317034
"5048",5979.724161,"Yes","Extended","High School or Below","Employed","F",57693,"Suburban","Divorced",76,16,56,0,3,"Personal Auto","Personal L3","Offer2","Agent",547.2,"Four-Door Car","Medsize",5413.46416945776
"5049",7377.231238,"No","Basic","College","Unemployed","M",0,"Suburban","Married",69,16,42,0,2,"Personal Auto","Personal L3","Offer4","Branch",331.2,"Four-Door Car","Medsize",5033.36644697696
"5051",8657.968597,"No","Basic","College","Employed","M",68727,"Rural","Married",72,15,49,0,2,"Personal Auto","Personal L1","Offer1","Branch",171.475838,"Four-Door Car","Medsize",5169.61060753337
"5053",5780.182197,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single",74,23,0,0,8,"Personal Auto","Personal L2","Offer2","Call Center",787.993313,"Four-Door Car","Medsize",6951.85085190622
"5056",4787.206586,"No","Basic","College","Unemployed","F",0,"Suburban","Single",67,16,45,0,5,"Personal Auto","Personal L3","Offer1","Call Center",321.6,"Four-Door Car","Small",5920.06668029766
"5057",3013.439451,"No","Extended","Bachelor","Disabled","M",21353,"Suburban","Divorced",80,28,21,0,1,"Personal Auto","Personal L3","Offer3","Agent",576,"Four-Door Car","Medsize",5207.08514445325
"5058",3472.369996,"No","Premium","High School or Below","Unemployed","M",0,"Suburban","Single",102,25,48,0,1,"Personal Auto","Personal L3","Offer2","Agent",976.112456,"Four-Door Car","Medsize",5942.56044515222
"5059",5380.898636,"Yes","Basic","College","Employed","F",55350,"Suburban","Married",67,0,13,0,9,"Personal Auto","Personal L2","Offer1","Agent",321.6,"Four-Door Car","Medsize",7223.43957855318
"5061",5526.438887,"No","Extended","Bachelor","Employed","F",94230,"Suburban","Married",137,21,82,0,1,"Special Auto","Special L3","Offer3","Agent",657.6,"SUV","Medsize",8411.86003638189
"5063",14203.04178,"No","Basic","College","Employed","M",55593,"Urban","Married",182,10,48,1,9,"Corporate Auto","Corporate L2","Offer4","Web",677.63589,"Luxury Car","Medsize",12295.5829215622
"5064",5745.41663,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Single",165,27,38,0,1,"Personal Auto","Personal L3","Offer1","Agent",1853.202354,"Sports Car","Medsize",9067.33636021821
"5065",9602.07966,"No","Extended","College","Unemployed","F",0,"Suburban","Single",94,12,3,0,2,"Personal Auto","Personal L3","Offer3","Branch",676.8,"Two-Door Car","Medsize",6168.73445161371
"5066",3199.75316,"No","Extended","Bachelor","Unemployed","M",0,"Rural","Married",87,3,43,0,1,"Personal Auto","Personal L3","Offer1","Agent",132.492438,"Four-Door Car","Medsize",5524.98818575154
"5067",2758.329817,"No","Basic","High School or Below","Disabled","M",22158,"Suburban","Married",74,8,92,0,1,"Personal Auto","Personal L1","Offer2","Call Center",355.2,"Four-Door Car","Small",4670.94827995906
"5068",2725.192659,"No","Basic","Bachelor","Employed","F",81605,"Suburban","Married",67,7,74,0,1,"Personal Auto","Personal L3","Offer2","Agent",424.219182,"Two-Door Car","Medsize",4353.04523866077
"5069",5550.149947,"No","Basic","Master","Employed","M",62219,"Urban","Married",69,7,73,0,4,"Personal Auto","Personal L3","Offer2","Branch",243.238784,"Two-Door Car","Small",5421.40435272335
"5070",2619.172388,"No","Basic","Bachelor","Disabled","M",15587,"Rural","Married",71,11,48,0,1,"Special Auto","Special L1","Offer2","Agent",136.033828,"Two-Door Car","Medsize",4534.70411940265
"5071",6265.343299,"Yes","Extended","Doctor","Unemployed","F",0,"Suburban","Married",84,18,25,1,4,"Corporate Auto","Corporate L2","Offer1","Agent",481.025786,"Four-Door Car","Medsize",6215.72422056671
"5072",12313.16484,"No","Premium","College","Unemployed","M",0,"Suburban","Single",116,7,57,0,2,"Personal Auto","Personal L1","Offer1","Call Center",835.2,"Two-Door Car","Medsize",7167.85829569405
"5073",10552.42728,"No","Extended","High School or Below","Employed","M",28505,"Suburban","Married",88,0,93,0,2,"Personal Auto","Personal L2","Offer4","Agent",422.4,"Four-Door Car","Large",5896.24613050089
