"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.I(Coverage == ""Premium"")TRUE","dfbetas.I(EmploymentStatus == ""Unemployed"")TRUE","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Policies","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"4516", 2643.716,"No","Extended","College","Unemployed","F",    0,"Suburban","Single", 82,14,56,3,1,"Personal Auto","Personal L3","Offer1","Branch", 393.600000,"Two-Door Car","Medsize", 4851.116,-0.7527084118,-0.7527084118,0.0019538079,1.848879e-04,-3.330369e-02,-5.549161e-03, 4.929784e-03,-2.540780e-02,-5.118177e-04, 1.371594e-02, 7.048029e-03,1.0029972
"4518", 6889.616,"No","Extended","Bachelor","Employed","F",30814,"Suburban","Married", 87, 8,96,0,3,"Personal Auto","Personal L1","Offer2","Branch", 417.600000,"Four-Door Car","Medsize", 6088.836, 0.2728626615, 0.2728626615,0.0007025509,8.727308e-06, 7.234951e-03, 1.261104e-03,-2.249953e-03,-3.298210e-03, 1.471192e-03,-1.797123e-05,-3.008197e-03,1.0029217
"4522", 5166.190,"No","Basic","College","Employed","F",80797,"Urban","Married", 64,21,47,0,9,"Personal Auto","Personal L1","Offer2","Web", 300.940297,"Four-Door Car","Small", 7032.211,-0.6366721033,-0.6366721033,0.0031833123,2.157980e-04,-3.597889e-02,-1.762542e-03,-6.248363e-04, 8.795271e-03, 7.344860e-03,-3.091352e-02, 8.684435e-04,1.0046218
"4527", 5246.278,"Yes","Basic","Bachelor","Employed","F",28909,"Suburban","Married", 66,15,66,0,8,"Personal Auto","Personal L3","Offer1","Agent", 456.702735,"Two-Door Car","Medsize", 6799.974,-0.5298942921,-0.5298942921,0.0024244858,1.137694e-04,-2.612319e-02,-2.294748e-03,-4.101764e-05, 7.159303e-03, 5.378486e-03,-2.140920e-02, 1.208537e-03,1.0041569
"4528", 9031.215,"Yes","Extended","Master","Unemployed","F",    0,"Suburban","Single",122,15,47,0,9,"Personal Auto","Personal L2","Offer1","Branch", 650.521790,"Sports Car","Medsize", 9000.166, 0.0106022245, 0.0106022245,0.0049597521,9.341901e-08, 7.485256e-04,-4.609518e-04,-1.988219e-04, 3.288152e-04, 3.566583e-04, 5.080420e-04,-2.467522e-04,1.0073918
"4530", 9802.549,"No","Extended","Bachelor","Employed","M",84429,"Rural","Married",123,11, 2,0,6,"Personal Auto","Personal L2","Offer2","Call Center", 115.072340,"SUV","Medsize", 9304.738, 0.1698260375, 0.1698260375,0.0030620014,1.476940e-05, 9.411804e-03,-1.936714e-03,-1.012230e-03,-2.237786e-03, 9.725038e-04, 4.459273e-03, 5.926228e-03,1.0054051
"4536", 3716.480,"No","Extended","High School or Below","Medical Leave","F",17162,"Suburban","Married", 96,15,29,0,1,"Corporate Auto","Corporate L2","Offer2","Web", 460.800000,"Four-Door Car","Small", 5828.929,-0.7200131122,-0.7200131122,0.0010916267,9.444120e-05,-2.380207e-02,-3.118140e-03, 8.485364e-03, 8.301238e-03,-8.696308e-03, 1.168702e-02, 1.062229e-02,1.0022470
"4540",12741.848,"Yes","Basic","Bachelor","Employed","F",73054,"Urban","Married",106,34,36,1,2,"Personal Auto","Personal L3","Offer1","Branch", 419.365958,"SUV","Medsize", 7352.953, 1.8390750872, 1.8390750872,0.0024612613,1.389515e-03, 9.135103e-02, 2.197022e-02,-1.671979e-03,-2.170122e-02,-1.540853e-02,-1.239208e-02, 7.482836e-02,0.9967732
"4544", 8217.428,"No","Basic","College","Employed","F",84815,"Urban","Married", 68, 9,37,0,2,"Personal Auto","Personal L1","Offer1","Agent", 279.996658,"Four-Door Car","Medsize", 4997.417, 1.0975276679, 1.0975276679,0.0008372342,1.682112e-04, 3.177027e-02, 2.253361e-02,-2.060414e-03,-1.277475e-02,-1.064985e-02,-9.409480e-03,-4.381526e-03,1.0003483
"4546", 8110.536,"No","Basic","Bachelor","Employed","M",36554,"Suburban","Married", 70, 6,62,1,2,"Personal Auto","Personal L2","Offer4","Call Center", 433.388420,"Two-Door Car","Small", 5079.244, 1.0331610443, 1.0331610443,0.0008092671,1.440843e-04, 2.940287e-02, 1.980010e-02,-2.655065e-03,-1.204019e-02,-8.403950e-03,-8.820097e-03,-4.906707e-03,1.0006485
"4553", 3054.541,"No","Extended","Bachelor","Unemployed","M",    0,"Suburban","Single", 88,29,19,0,1,"Personal Auto","Personal L1","Offer2","Agent", 422.400000,"Four-Door Car","Small", 5096.597,-0.6963255666,-0.6963255666,0.0019823430,1.605474e-04,-3.103363e-02,-2.277560e-03, 6.008147e-03,-2.347495e-02,-3.753325e-03, 1.261300e-02, 8.102663e-03,1.0032220
"4556", 8717.050,"Yes","Basic","College","Employed","M",83846,"Suburban","Married", 74,22,94,3,2,"Personal Auto","Personal L1","Offer2","Agent", 355.200000,"Four-Door Car","Large", 5242.897, 1.1841564610, 1.1841564610,0.0007680942,1.796162e-04, 3.283093e-02, 1.945745e-02,-4.683180e-03,-1.383352e-02,-5.915823e-03,-1.002316e-02,-7.416704e-03,0.9998062
"4560", 7949.284,"No","Extended","Doctor","Employed","M",63688,"Suburban","Married", 99,28,93,0,6,"Personal Auto","Personal L2","Offer2","Branch", 475.200000,"Four-Door Car","Medsize", 7521.990, 0.1456555107, 0.1456555107,0.0014992430,5.311238e-06, 5.644022e-03,-1.801126e-03,-1.715020e-03,-1.910425e-03, 2.239815e-03, 3.590371e-03,-2.198653e-03,1.0038498
"4579",14274.555,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single", 84,35,42,0,2,"Personal Auto","Personal L1","Offer4","Call Center", 604.800000,"Four-Door Car","Medsize", 5247.007, 3.0834675583, 3.0834675583,0.0017284823,2.734469e-03, 1.283062e-01, 9.480728e-03,-2.168010e-02, 1.030630e-01, 7.518364e-03,-3.088649e-02,-3.071292e-02,0.9815826
"4584", 8501.653,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single",136,20,98,3,6,"Personal Auto","Personal L2","Offer1","Web", 979.200000,"Sports Car","Medsize", 8630.762,-0.0440671143,-0.0440671143,0.0040637821,1.321143e-06,-2.814907e-03, 1.949446e-03, 1.067845e-03,-1.403020e-03,-1.941622e-03,-1.040913e-03, 1.280164e-03,1.0064811
"4594", 2113.857,"No","Basic","College","Unemployed","F",    0,"Suburban","Single", 65,27,37,2,1,"Personal Auto","Personal L1","Offer3","Call Center", 468.000000,"Four-Door Car","Small", 4155.587,-0.6962604005,-0.6962604005,0.0021134463,1.711557e-04,-3.204252e-02,-1.322521e-02, 4.591110e-04,-2.358917e-02, 8.819146e-03, 1.290285e-02, 2.036415e-03,1.0033540
"4597", 4592.150,"No","Basic","College","Employed","F",73604,"Rural","Married",114,15,89,0,1,"Personal Auto","Personal L2","Offer1","Agent", 184.222768,"SUV","Medsize", 7366.197,-0.9462850654,-0.9462850654,0.0025696743,3.845088e-04,-4.803079e-02,-8.902292e-03, 3.683291e-03, 1.092521e-02, 2.162581e-03, 1.397098e-02,-3.548540e-02,1.0028271
"4599", 8208.930,"No","Premium","Bachelor","Employed","F",40646,"Suburban","Married",103,22, 6,0,8,"Personal Auto","Personal L3","Offer2","Web", 494.400000,"Four-Door Car","Medsize", 9074.978,-0.2960257276,-0.2960257276,0.0069192531,1.017983e-04,-2.470966e-02,-6.318084e-04,-1.971145e-02, 3.884556e-03, 4.760370e-03,-1.279163e-02,-7.866790e-04,1.0091682
"4601", 3413.623,"No","Extended","High School or Below","Medical Leave","F",18168,"Suburban","Married", 87,25,50,0,1,"Personal Auto","Personal L2","Offer2","Agent", 417.600000,"Two-Door Car","Medsize", 5460.708,-0.6976877577,-0.6976877577,0.0009710393,7.887122e-05,-2.175156e-02,-7.311490e-03, 6.047260e-03, 7.998339e-03,-3.499266e-03, 1.143769e-02, 7.915135e-03,1.0022019
"4602", 6325.031,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Married", 89, 4,86,0,7,"Personal Auto","Personal L2","Offer3","Agent", 614.572672,"Two-Door Car","Medsize", 7021.894,-0.2376806559,-0.2376806559,0.0026183121,2.472634e-05,-1.217794e-02, 3.564764e-03, 1.833579e-03,-7.567671e-03,-1.737165e-03,-7.349716e-03, 2.629197e-03,1.0048913
"4603", 6393.875,"No","Basic","Master","Unemployed","M",    0,"Suburban","Single", 66, 4, 6,2,2,"Personal Auto","Personal L3","Offer1","Agent", 316.800000,"Four-Door Car","Large", 4510.565, 0.6421455953, 0.6421455953,0.0018589801,1.280267e-04, 2.771245e-02, 9.875398e-03,-5.107045e-04, 2.154764e-02,-7.507526e-03,-6.642109e-03,-2.018726e-03,1.0032721
"4607", 5409.956,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single", 62, 1, 9,5,2,"Personal Auto","Personal L3","Offer2","Agent", 297.600000,"Four-Door Car","Medsize", 4346.911, 0.3624575404, 0.3624575404,0.0019421048,4.262166e-05, 1.598879e-02, 6.565446e-03, 2.140470e-04, 1.217342e-02,-5.375926e-03,-3.775550e-03,-5.903711e-04,1.0040305
"4609",15173.968,"No","Extended","High School or Below","Employed","F",22448,"Suburban","Married",126,20,32,0,2,"Personal Auto","Personal L3","Offer1","Branch", 604.800000,"SUV","Medsize", 8171.223, 2.3909275564, 2.3909275564,0.0024447753,2.330599e-03, 1.183634e-01,-4.133244e-03,-1.874562e-02,-2.855597e-02, 1.751593e-02,-1.524372e-02, 7.916490e-02,0.9912136
"4612", 5577.541,"No","Basic","College","Employed","M",97868,"Urban","Married", 70, 5,22,1,3,"Special Auto","Special L2","Offer3","Branch", 267.786573,"Two-Door Car","Large", 5393.308, 0.0627771140, 0.0627771140,0.0007365852,4.843586e-07, 1.704405e-03, 1.019225e-03,-1.481171e-04,-7.511769e-04,-4.987948e-04,-2.346165e-05,-2.881276e-04,1.0031251
"4618", 4419.540,"No","Basic","Master","Unemployed","F",    0,"Suburban","Married",112,16,12,0,1,"Personal Auto","Personal L3","Offer1","Agent", 537.600000,"SUV","Medsize", 6879.345,-0.8394832029,-0.8394832029,0.0035775579,4.217616e-04,-5.030181e-02,-3.563549e-03, 2.359309e-03,-2.828132e-02, 3.585480e-03, 1.388413e-02,-3.221088e-02,1.0042996
"4620", 5047.483,"No","Basic","Bachelor","Employed","M",81741,"Urban","Single", 64,10,94,0,8,"Corporate Auto","Corporate L2","Offer1","Agent", 186.448395,"Four-Door Car","Medsize", 6718.147,-0.5698015194,-0.5698015194,0.0024587486,1.334124e-04,-2.828885e-02,-3.246819e-03,-4.390498e-04, 7.690438e-03, 6.678490e-03,-2.300130e-02, 8.678256e-04,1.0040859
"4621", 4913.119,"No","Basic","College","Employed","F",48295,"Urban","Single", 63,25,96,0,8,"Personal Auto","Personal L1","Offer1","Branch", 290.301553,"Four-Door Car","Medsize", 6677.233,-0.6016844110,-0.6016844110,0.0024777251,1.499089e-04,-2.998707e-02,-3.839932e-03,-6.721435e-04, 8.116512e-03, 7.524709e-03,-2.427765e-02, 6.884362e-04,1.0040153
"4624", 3861.486,"Yes","Extended","College","Employed","F",93272,"Urban","Married", 95, 3,54,0,1,"Personal Auto","Personal L3","Offer2","Branch", 281.110788,"Four-Door Car","Medsize", 5788.016,-0.6566261647,-0.6566261647,0.0010733077,7.722790e-05,-2.152353e-02,-3.292265e-03, 7.510874e-03, 7.565655e-03,-7.415409e-03, 1.066994e-02, 9.438459e-03,1.0024379
"4626", 6980.325,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Single", 67,20,14,0,2,"Corporate Auto","Corporate L3","Offer3","Branch", 321.600000,"Four-Door Car","Medsize", 4551.478, 0.8281933383, 0.8281933383,0.0018412743,2.109043e-04, 3.557060e-02, 1.217036e-02,-9.455952e-04, 2.778441e-02,-9.032468e-03,-8.551433e-03,-2.917258e-03,1.0025978
"4635", 9061.058,"No","Premium","Master","Employed","F",73876,"Urban","Married",112,19,71,0,8,"Personal Auto","Personal L1","Offer3","Web", 419.303041,"Four-Door Car","Medsize", 9443.199,-0.1306071100,-0.1306071100,0.0067428512,1.930788e-05,-1.076113e-02, 5.267280e-04,-8.287710e-03, 1.722173e-03, 1.175109e-03,-5.664540e-03, 9.924310e-05,1.0091594
"4636",16728.344,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single",237, 1,29,0,5,"Personal Auto","Personal L1","Offer3","Agent",1706.400000,"Luxury Car","Medsize",12448.957, 1.4708021595, 1.4708021595,0.0169558941,6.215894e-03, 1.931649e-01,-1.634669e-01,-8.804595e-02, 4.652353e-02, 1.824510e-01, 2.557660e-02,-9.993647e-02,1.0144220
"4638", 4364.312,"No","Basic","College","Employed","M",44804,"Suburban","Single",114,15,13,0,1,"Corporate Auto","Corporate L3","Offer4","Branch", 778.350073,"SUV","Medsize", 7366.197,-1.0240367877,-1.0240367877,0.0025696743,4.502637e-04,-5.197725e-02,-9.633751e-03, 3.985929e-03, 1.182288e-02, 2.340270e-03, 1.511891e-02,-3.840107e-02,1.0024596
"4659", 2439.931,"No","Basic","College","Employed","F",50876,"Urban","Married", 61,13,60,0,1,"Personal Auto","Personal L2","Offer1","Agent", 171.248196,"Four-Door Car","Medsize", 4396.959,-0.6670591150,-0.6670591150,0.0011823784,8.780996e-05,-2.295089e-02,-1.884237e-02,-2.243611e-04, 7.523664e-03, 1.026383e-02, 1.125089e-02, 1.001874e-03,1.0025142
"4660", 4505.850,"No","Basic","Bachelor","Medical Leave","M",20284,"Suburban","Single", 65,14,84,1,3,"Personal Auto","Personal L2","Offer1","Agent", 532.806637,"Four-Door Car","Medsize", 5188.740,-0.2327042990,-0.2327042990,0.0008142518,7.357561e-06,-6.642945e-03,-4.573150e-03, 1.461672e-04, 2.776255e-03, 2.761892e-03, 1.080438e-04, 6.276328e-04,1.0030825
"4661", 2309.596,"No","Basic","College","Retired","M",22567,"Suburban","Single", 69, 6,12,0,1,"Personal Auto","Personal L2","Offer4","Branch", 496.800000,"Four-Door Car","Large", 4724.266,-0.8230227933,-0.8230227933,0.0010287826,1.162784e-04,-2.641175e-02,-1.874734e-02, 2.003392e-03, 9.329248e-03, 7.496272e-03, 1.376111e-02, 3.728727e-03,1.0018028
"4663", 6414.081,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single", 89, 0,12,0,5,"Personal Auto","Personal L3","Offer1","Call Center", 640.800000,"Four-Door Car","Medsize", 6393.766, 0.0069263239, 0.0069263239,0.0018766640,1.503938e-08, 3.003336e-04,-6.325581e-05,-5.632846e-05, 2.247807e-04, 4.799273e-05, 1.009575e-04,-7.879850e-05,1.0042803
"4664", 2585.206,"No","Basic","College","Employed","F",28137,"Suburban","Married", 65,23, 2,0,1,"Personal Auto","Personal L1","Offer3","Web", 312.000000,"Two-Door Car","Large", 4560.612,-0.6732954172,-0.6732954172,0.0010957395,8.289688e-05,-2.229962e-02,-1.717749e-02, 7.062666e-04, 7.612982e-03, 8.246031e-03, 1.130680e-02, 2.030841e-03,1.0024072
"4669", 4117.372,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single",116,19,99,0,1,"Personal Auto","Personal L1","Offer1","Web",1301.796063,"SUV","Small", 7042.999,-0.9985084337,-0.9985084337,0.0035606499,5.937876e-04,-5.968854e-02,-1.506122e-03, 4.191157e-03,-3.360976e-02, 1.126712e-03, 1.644166e-02,-3.679831e-02,1.0035805
"4673",11044.427,"No","Extended","College","Employed","F",29696,"Urban","Single",139,17,41,0,3,"Personal Auto","Personal L3","Offer3","Call Center", 478.107847,"SUV","Medsize", 9017.161, 0.6915178173, 0.6915178173,0.0026644222,2.129647e-04, 3.574244e-02,-9.369868e-03,-8.392531e-03,-8.540817e-03, 1.225671e-02, 1.403883e-03, 1.960314e-02,1.0039241
"4676", 6500.410,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Single", 61,13,37,0,2,"Personal Auto","Personal L3","Offer1","Agent", 292.800000,"Four-Door Car","Medsize", 4305.997, 0.7482831953, 0.7482831953,0.0019659612,1.838597e-04, 3.321091e-02, 1.406585e-02, 7.011611e-04, 2.513734e-02,-1.168600e-02,-7.808168e-03,-9.353937e-04,1.0030254
"4680", 8447.888,"No","Basic","Bachelor","Employed","F",61337,"Rural","Married",105,35,46,0,9,"Personal Auto","Personal L2","Offer1","Call Center",   2.540090,"SUV","Medsize", 9510.488,-0.3628559852,-0.3628559852,0.0049667702,1.095732e-04,-2.563613e-02, 2.864903e-03,-3.310062e-04, 5.079837e-03, 2.849644e-03,-1.832322e-02,-1.532574e-02,1.0070818
"4689", 2975.257,"No","Extended","Bachelor","Employed","M",36548,"Suburban","Married", 76,10,95,0,1,"Personal Auto","Personal L1","Offer2","Agent", 547.200000,"Four-Door Car","Small", 5010.660,-0.6937013460,-0.6937013460,0.0009589674,7.700238e-05,-2.149229e-02,-1.248328e-02, 3.370147e-03, 7.897884e-03, 2.508058e-03, 1.151047e-02, 4.981055e-03,1.0022031
"4700",15190.654,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Single", 71, 4,64,4,2,"Personal Auto","Personal L3","Offer2","Call Center", 839.593218,"Four-Door Car","Small", 4715.132, 3.5804917211, 3.5804917211,0.0017827520,3.798026e-03, 1.513128e-01, 4.282468e-02,-9.049689e-03, 1.200129e-01,-2.780641e-02,-3.670944e-02,-1.803588e-02,0.9739196
"4712", 7408.168,"No","Basic","High School or Below","Employed","M",62810,"Rural","Married",187,14,22,1,1,"Corporate Auto","Corporate L2","Offer3","Web",  32.874675,"Luxury Car","Medsize", 9552.054,-0.7332367804,-0.7332367804,0.0079079298,7.143781e-04,-6.546357e-02, 4.256193e-02, 3.185840e-02, 8.962733e-03,-6.142369e-02, 1.072975e-02, 3.620311e-02,1.0090866
"4716", 3370.075,"No","Extended","Master","Unemployed","M",    0,"Suburban","Divorced", 95,14,15,1,1,"Personal Auto","Personal L3","Offer1","Branch", 476.903351,"Four-Door Car","Medsize", 5382.991,-0.6864181168,-0.6864181168,0.0020716042,1.630517e-04,-3.127465e-02, 1.039491e-03, 7.587805e-03,-2.310751e-02,-7.472292e-03, 1.234702e-02, 9.807779e-03,1.0033446
"4719",12300.005,"No","Basic","Bachelor","Employed","M",74586,"Suburban","Married",103,14,19,0,2,"Personal Auto","Personal L3","Offer2","Call Center", 494.400000,"SUV","Medsize", 7230.213, 1.7300795428, 1.7300795428,0.0025061732,1.252382e-03, 8.671945e-02, 2.421751e-02, 2.258560e-04,-2.037829e-02,-1.857123e-02,-1.175199e-02, 7.236155e-02,0.9977454
"4723", 6838.768,"No","Extended","High School or Below","Disabled","M",15871,"Suburban","Married", 89,20,19,0,4,"Personal Auto","Personal L2","Offer4","Branch", 427.200000,"Four-Door Car","Medsize", 6484.727, 0.1206416573, 0.1206416573,0.0007880203,1.913788e-06, 3.387952e-03, 3.947947e-05,-1.052995e-03,-1.497737e-03, 8.625259e-04, 9.812422e-04,-1.402192e-03,1.0031513
"4728", 4102.200,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married",112,31,21,0,1,"Corporate Auto","Corporate L2","Offer3","Agent", 537.600000,"SUV","Small", 6879.345,-0.9478215322,-0.9478215322,0.0035775579,5.376042e-04,-5.679344e-02,-4.023437e-03, 2.663786e-03,-3.193113e-02, 4.048200e-03, 1.567593e-02,-3.636781e-02,1.0038345
"4729", 4111.197,"No","Basic","College","Employed","F",32210,"Suburban","Divorced",103,16,97,0,1,"Corporate Auto","Corporate L2","Offer1","Call Center", 494.400000,"SUV","Large", 6916.149,-0.9568859675,-0.9568859675,0.0026834760,4.106279e-04,-4.963552e-02,-1.620035e-02, 7.653921e-05, 1.097270e-02, 1.045291e-02, 1.431910e-02,-3.987322e-02,1.0028931
"4732", 5837.528,"No","Basic","Doctor","Employed","M",83308,"Suburban","Married", 73, 3,81,1,7,"Personal Auto","Personal L2","Offer3","Agent", 419.471438,"Four-Door Car","Medsize", 6772.304,-0.3186899700,-0.3186899700,0.0017492617,2.967265e-05,-1.334062e-02,-7.885338e-04, 8.152514e-04, 4.220676e-03, 1.542650e-03,-1.030925e-02, 1.622278e-03,1.0039082
"4737", 4554.912,"No","Basic","Bachelor","Employed","M",90156,"Urban","Married",114,16, 6,0,1,"Personal Auto","Personal L1","Offer2","Call Center", 388.346716,"SUV","Small", 7366.197,-0.9589925171,-0.9589925171,0.0025696743,3.949013e-04,-4.867579e-02,-9.021839e-03, 3.732753e-03, 1.107192e-02, 2.191622e-03, 1.415859e-02,-3.596193e-02,1.0027690
"4738", 7069.741,"No","Extended","Bachelor","Employed","F",63867,"Suburban","Married", 89,21, 4,1,3,"Corporate Auto","Corporate L3","Offer3","Branch", 432.361631,"Four-Door Car","Medsize", 6170.663, 0.3063614700, 0.3063614700,0.0007219191,1.130514e-05, 8.234462e-03, 9.973546e-04,-2.738361e-03,-3.707553e-03, 2.132528e-03,-9.081510e-06,-3.609475e-03,1.0028946
"4739", 4743.695,"No","Basic","Bachelor","Employed","F",83413,"Rural","Married",118, 0, 1,0,1,"Personal Auto","Personal L3","Offer2","Web", 134.801691,"SUV","Medsize", 7529.851,-0.9504152735,-0.9504152735,0.0025651953,3.871937e-04,-4.819826e-02,-6.341592e-03, 5.016938e-03, 1.100015e-02,-8.132936e-04, 1.396302e-02,-3.419983e-02,1.0028038
"4745", 4770.551,"Yes","Basic","College","Medical Leave","F",12964,"Suburban","Single", 65, 2,37,0,4,"Personal Auto","Personal L3","Offer1","Web", 362.774545,"Two-Door Car","Medsize", 5502.804,-0.2495332623,-0.2495332623,0.0008732624,9.073863e-06,-7.377183e-03,-4.173270e-03, 1.042519e-04, 3.055093e-03, 2.914695e-03,-1.921209e-03, 6.332757e-04,1.0031223
"4755", 5155.529,"No","Basic","College","Employed","F",77857,"Rural","Married", 64, 0,99,0,9,"Personal Auto","Personal L3","Offer1","Agent", 160.628470,"Four-Door Car","Small", 7032.211,-0.6403101375,-0.6403101375,0.0031833123,2.182708e-04,-3.618448e-02,-1.772613e-03,-6.284067e-04, 8.845528e-03, 7.386830e-03,-3.109017e-02, 8.734059e-04,1.0046106
"4756", 4407.769,"No","Basic","Bachelor","Unemployed","F",    0,"Rural","Divorced", 62,18,34,0,3,"Personal Auto","Personal L3","Offer1","Branch", 114.097383,"Four-Door Car","Medsize", 4660.975,-0.0863268100,-0.0863268100,0.0018388579,2.289073e-06,-3.705267e-03,-1.310689e-03,-6.914519e-05,-2.872215e-03, 1.264047e-03, 1.941081e-04, 1.268378e-04,1.0042244
"4757", 2955.496,"No","Basic","Doctor","Employed","F",56502,"Suburban","Single", 74,15,78,0,1,"Personal Auto","Personal L1","Offer3","Branch", 355.200000,"Four-Door Car","Medsize", 4928.833,-0.6725489035,-0.6725489035,0.0009727640,7.342120e-05,-2.098645e-02,-1.302175e-02, 2.801594e-03, 7.647469e-03, 3.487014e-03, 1.118394e-02, 4.319980e-03,1.0022862
"4763", 7799.440,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Married",105,33, 7,0,3,"Personal Auto","Personal L3","Offer1","Web", 504.000000,"SUV","Medsize", 7221.079, 0.1973374272, 0.1973374272,0.0033778492,2.200614e-05, 1.148853e-02, 6.253008e-04, 7.525959e-06, 6.533860e-03,-1.853465e-03,-6.248522e-05, 8.157618e-03,1.0056994
"4764", 8292.627,"No","Basic","College","Employed","M",79632,"Urban","Divorced",106, 7,72,1,3,"Personal Auto","Personal L3","Offer2","Branch", 344.048739,"SUV","Medsize", 7667.017, 0.2133559429, 0.2133559429,0.0024180145,1.839644e-05, 1.050413e-02, 1.923478e-03,-1.490513e-04,-2.584282e-03,-1.747309e-03, 3.054766e-04, 8.714874e-03,1.0047159
"4767", 6089.772,"No","Extended","College","Employed","M",70892,"Urban","Married", 76,21,32,0,5,"Corporate Auto","Corporate L1","Offer2","Call Center", 206.709951,"Two-Door Car","Medsize", 6266.916,-0.0603674841,-0.0603674841,0.0009416700,5.727108e-07,-1.853348e-03,-3.791523e-04, 2.424792e-04, 7.627433e-04, 1.727509e-04,-9.696527e-04, 3.949760e-04,1.0033318
"4768", 5016.145,"No","Basic","College","Employed","F",49367,"Rural","Divorced", 63,16,40,0,9,"Personal Auto","Personal L3","Offer1","Agent",  69.230355,"Four-Door Car","Medsize", 6991.297,-0.6739200455,-0.6739200455,0.0032019934,2.432054e-04,-3.819575e-02,-2.326642e-03,-8.950397e-04, 9.305081e-03, 8.304012e-03,-3.271018e-02, 6.638426e-04,1.0045233
"4773", 5274.201,"No","Basic","High School or Below","Medical Leave","M",10629,"Suburban","Single", 74,17,15,0,8,"Personal Auto","Personal L3","Offer4","Web", 532.800000,"Four-Door Car","Small", 7127.281,-0.6319880055,-0.6319880055,0.0023366393,1.559474e-04,-3.058529e-02, 7.200252e-04, 1.703155e-03, 8.574569e-03, 2.444700e-03,-2.562458e-02, 3.356687e-03,1.0037835
"4774", 2620.602,"No","Basic","Bachelor","Medical Leave","M",10237,"Urban","Married", 72,31,97,0,1,"Personal Auto","Personal L2","Offer2","Call Center", 253.637853,"Two-Door Car","Medsize", 4847.007,-0.7588245061,-0.7588245061,0.0009914811,9.526210e-05,-2.390556e-02,-1.572927e-02, 2.635445e-03, 8.617699e-03, 5.125186e-03, 1.264623e-02, 4.299644e-03,1.0020089
"4775", 4515.184,"No","Premium","College","Employed","F",87517,"Suburban","Married",112, 1,28,1,1,"Corporate Auto","Corporate L3","Offer2","Branch", 802.278237,"Four-Door Car","Small", 7244.751,-0.9322754252,-0.9322754252,0.0050675844,7.378487e-04,-6.653466e-02,-1.539460e-02,-5.773231e-02, 1.023902e-02, 9.613211e-03, 1.298720e-02, 1.749994e-03,1.0054081
"4776", 5533.229,"No","Basic","Bachelor","Employed","M",23241,"Suburban","Married", 70,11,14,0,9,"Personal Auto","Personal L1","Offer2","Agent", 504.000000,"Two-Door Car","Small", 7277.692,-0.5951655703,-0.5951655703,0.0030970580,1.834563e-04,-3.317310e-02, 7.948935e-04, 6.538881e-04, 8.247155e-03, 4.060809e-03,-2.896168e-02, 2.165134e-03,1.0046578
"4779", 5016.553,"No","Basic","Bachelor","Employed","M",36313,"Urban","Single", 67, 3,38,2,9,"Personal Auto","Personal L2","Offer1","Agent", 300.375887,"Four-Door Car","Medsize", 7154.951,-0.7296059329,-0.7296059329,0.0031346496,2.790352e-04,-4.091331e-02,-5.226495e-04, 4.279161e-05, 1.009456e-02, 6.697479e-03,-3.546474e-02, 1.824722e-03,1.0042676
"4782", 6423.739,"No","Basic","College","Unemployed","M",    0,"Suburban","Single",188, 5,67,0,1,"Corporate Auto","Corporate L2","Offer3","Agent",1621.560425,"Luxury SUV","Medsize", 9187.942,-0.9459705751,-0.9459705751,0.0089775445,1.351127e-03,-9.003568e-02, 6.178839e-02, 4.108225e-02,-3.132256e-02,-7.964055e-02, 1.547510e-02, 4.700318e-02,1.0093127
"4785", 6086.432,"No","Extended","College","Retired","F",13688,"Suburban","Divorced", 84,25, 2,0,8,"Personal Auto","Personal L2","Offer1","Agent", 403.200000,"Two-Door Car","Medsize", 7536.416,-0.4944980296,-0.4944980296,0.0023375418,9.551784e-05,-2.393605e-02, 3.944322e-03, 3.046266e-03, 6.744638e-03,-1.969821e-03,-2.013955e-02, 4.499780e-03,1.0041565
