"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Open.Complaints","dfbetas.Number.of.Policies","dfbetas.I(Renew.Offer.Type == ""Offer2"")TRUE","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"3220", 4270.034,"Yes","Extended","College","Unemployed","M",    0,"Suburban","Married",122,27, 2,0,1,"Corporate Auto","Corporate L3","Offer2","Agent", 725.870693,"SUV","Medsize", 7466.991,-1.1274914351,-1.1274914351,0.0013939595,2.957407e-04,-4.212513e-02, 1.633766e-03,-1.795300e-03, 4.681016e-03, 1.081821e-02,-2.180990e-02,-2.684961e-02,1.0011178
"3222", 3944.231,"No","Basic","Bachelor","Employed","F",33282,"Rural","Married",100,24,66,1,1,"Personal Auto","Personal L3","Offer2","Agent", 207.510821,"SUV","Small", 6317.317,-0.8369568364,-0.8369568364,0.0015510167,1.813709e-04,-3.298742e-02,-4.603841e-03, 7.372831e-03,-8.367551e-03, 8.078841e-03,-1.664361e-02,-2.396729e-02,1.0018607
"3224", 6842.580,"No","Extended","Bachelor","Disabled","M",25259,"Suburban","Married", 87,18, 8,0,9,"Personal Auto","Personal L1","Offer3","Agent", 417.600000,"Four-Door Car","Medsize", 8131.734,-0.4545911376,-0.4545911376,0.0012978407,4.476462e-05,-1.638754e-02, 2.281543e-03,-6.680165e-04, 2.718751e-03,-1.407411e-02, 3.565355e-03, 3.095064e-03,1.0021135
"3225", 2521.161,"No","Basic","College","Medical Leave","F",19637,"Suburban","Married", 67,34,30,0,1,"Personal Auto","Personal L3","Offer1","Branch", 333.138214,"Four-Door Car","Medsize", 4616.694,-0.7386856405,-0.7386856405,0.0005453684,4.962821e-05,-1.725532e-02,-1.372235e-02, 6.379480e-03, 4.644361e-03, 8.565892e-03, 8.000479e-03, 1.748921e-03,1.0010114
"3227",15512.564,"No","Extended","College","Employed","M",39794,"Suburban","Single",133, 0, 7,0,2,"Corporate Auto","Corporate L2","Offer1","Agent", 638.400000,"SUV","Small", 8556.044, 2.4539576803, 2.4539576803,0.0010373393,1.041315e-03, 7.907749e-02,-1.200553e-03, 1.424784e-02,-1.464847e-02,-1.461084e-02,-2.008503e-02, 5.048174e-02,0.9959048
"3228", 6751.782,"No","Extended","High School or Below","Employed","M",42433,"Suburban","Married", 85,28,47,0,5,"Personal Auto","Personal L2","Offer4","Call Center", 410.946167,"Four-Door Car","Medsize", 6737.532, 0.0050229235, 0.0050229235,0.0004344063,1.827767e-09, 1.047126e-04, 1.797022e-05, 9.130247e-07,-3.085856e-05, 4.890802e-05,-4.617946e-05,-3.158127e-05,1.0014599
"3229", 7405.421,"No","Basic","Bachelor","Disabled","F",22044,"Rural","Divorced", 65,35,70,0,2,"Corporate Auto","Corporate L1","Offer1","Agent",  10.393016,"Four-Door Car","Large", 4851.708, 0.9001817332, 0.9001817332,0.0004675794,6.318031e-05, 1.946971e-02, 1.568832e-02,-8.543446e-03,-5.619178e-03,-5.682295e-03,-9.484163e-03,-1.769301e-03,1.0006622
"3230", 7218.016,"No","Basic","Doctor","Employed","F",32312,"Urban","Married", 61,29,31,3,2,"Personal Auto","Personal L2","Offer3","Call Center", 276.590788,"Two-Door Car","Medsize", 4218.400, 1.0580796804, 1.0580796804,0.0017704304,3.309216e-04, 4.455973e-02, 1.424204e-02,-1.217308e-02, 3.821965e-02,-6.360089e-03,-8.280934e-03,-7.341958e-04,1.0016509
"3231", 3362.552,"No","Extended","College","Unemployed","F",    0,"Suburban","Single", 97,28,29,0,1,"Personal Auto","Personal L1","Offer1","Branch", 698.400000,"Four-Door Car","Medsize", 5979.135,-0.9223620679,-0.9223620679,0.0005008837,7.105868e-05,-2.064803e-02,-6.059004e-03,-5.058262e-03, 5.837193e-03, 1.048311e-02, 9.501514e-03, 8.067221e-03,1.0006541
"3233", 8681.046,"No","Extended","Bachelor","Unemployed","M",    0,"Suburban","Married", 86, 6,57,2,2,"Personal Auto","Personal L1","Offer2","Branch", 541.217743,"Two-Door Car","Large", 5240.669, 1.2132069187, 1.2132069187,0.0011402374,2.800105e-04, 4.099022e-02,-2.434083e-03, 1.652160e-03, 2.888019e-02,-5.075572e-03, 2.394737e-02,-6.401399e-03,1.0006578
"3235", 4595.458,"No","Basic","Bachelor","Employed","M",76357,"Rural","Married",117,18,96,1,1,"Personal Auto","Personal L3","Offer1","Call Center",   4.074222,"SUV","Medsize", 7353.016,-0.9723702497,-0.9723702497,0.0011291883,1.781448e-04,-3.269341e-02,-5.840106e-03, 1.803310e-03,-7.902156e-03, 1.095425e-02, 7.651185e-03,-2.347238e-02,1.0011863
"3237", 4636.546,"Yes","Basic","College","Retired","M",26802,"Suburban","Married", 66, 7,43,1,5,"Personal Auto","Personal L3","Offer2","Agent", 316.800000,"Two-Door Car","Medsize", 5460.454,-0.2904630320,-0.2904630320,0.0008413707,1.184272e-05,-8.428831e-03,-5.847201e-04, 2.251870e-03,-2.858375e-03,-3.325889e-03,-5.647736e-03, 3.580390e-04,1.0017812
"3238", 8376.332,"No","Basic","College","Employed","F",26448,"Rural","Married",105, 7,42,0,3,"Personal Auto","Personal L3","Offer3","Agent",  75.330276,"Sports Car","Medsize", 6994.140, 0.4871885970, 0.4871885970,0.0004291134,1.698471e-05, 1.009430e-02,-2.582086e-04, 4.590264e-03,-3.047464e-03,-3.442385e-04,-4.628476e-03,-5.112217e-03,1.0012111
"3240", 4971.354,"No","Extended","Bachelor","Employed","F",98784,"Rural","Married",124, 7,36,1,1,"Personal Auto","Personal L3","Offer2","Web", 155.412984,"Sports Car","Medsize", 6791.135,-0.6416552685,-0.6416552685,0.0011083094,7.614450e-05,-2.137337e-02, 8.605419e-03,-1.232462e-02,-6.155936e-03, 5.969992e-03,-1.228807e-02, 8.646843e-03,1.0017130
"3241",13270.945,"No","Basic","College","Employed","M",28727,"Urban","Married",113, 7,42,0,2,"Corporate Auto","Corporate L1","Offer4","Branch", 350.877502,"SUV","Medsize", 7647.750, 1.9832446602, 1.9832446602,0.0010166814,6.668230e-04, 6.326880e-02, 1.490943e-02,-7.159158e-03,-1.178384e-02,-1.211275e-02,-1.693202e-02, 4.923388e-02,0.9980156
"3244", 5504.139,"Yes","Basic","Bachelor","Unemployed","F",    0,"Suburban","Married", 73,18,45,0,5,"Corporate Auto","Corporate L3","Offer1","Call Center", 350.400000,"Four-Door Car","Medsize", 6192.555,-0.2426500978,-0.2426500978,0.0004642383,4.558501e-06,-5.229399e-03,-2.033534e-03, 1.326364e-03, 1.486742e-03,-2.340352e-03, 2.282256e-03, 9.065620e-04,1.0014294
"3245", 5140.113,"No","Extended","High School or Below","Unemployed","F",    0,"Suburban","Married",138,22,18,0,1,"Corporate Auto","Corporate L3","Offer1","Agent", 900.617364,"SUV","Small", 8457.275,-1.1697583105,-1.1697583105,0.0011608857,2.650377e-04,-3.987889e-02, 6.339535e-04,-9.444719e-03, 7.040377e-03, 1.312052e-02, 9.857397e-03,-2.284841e-02,1.0007846
"3246", 6583.206,"No","Extended","Bachelor","Unemployed","M",    0,"Suburban","Single", 97,22, 5,0,3,"Personal Auto","Personal L2","Offer1","Branch", 465.600000,"Four-Door Car","Medsize", 6630.822,-0.0167826927,-0.0167826927,0.0003723632,1.748939e-08,-3.239112e-04,-4.483925e-05,-9.493231e-05, 1.047912e-04, 1.288890e-05, 1.618055e-04, 1.475555e-04,1.0013974
"3247", 7899.217,"No","Extended","High School or Below","Employed","F",40032,"Suburban","Married", 99,18,35,0,8,"Special Auto","Special L3","Offer2","Agent", 475.200000,"Four-Door Car","Medsize", 8087.219,-0.0662963006,-0.0662963006,0.0013854415,1.016463e-06,-2.469360e-03, 1.006940e-03,-5.360032e-04, 2.780429e-04,-1.823023e-03,-1.332050e-03, 5.610608e-04,1.0024091
"3248", 7659.500,"No","Extended","High School or Below","Employed","M",95701,"Rural","Divorced", 98,24, 8,3,3,"Personal Auto","Personal L3","Offer1","Branch",  99.697769,"Four-Door Car","Small", 6224.588, 0.5060782764, 0.5060782764,0.0016407415,7.016049e-05, 2.051608e-02,-1.673951e-03, 3.040055e-03, 1.827471e-02,-2.148549e-04,-3.463064e-03,-4.346521e-03,1.0024069
"3250", 7238.504,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married", 66,31,54,1,2,"Personal Auto","Personal L3","Offer3","Call Center", 393.645615,"Four-Door Car","Medsize", 4746.573, 0.8784070718, 0.8784070718,0.0004817826,6.198944e-05, 1.928528e-02, 1.332428e-02,-7.959698e-03, 6.911350e-03,-5.439743e-03,-8.423828e-03,-1.789846e-03,1.0007161
"3252", 3870.357,"No","Basic","Master","Unemployed","M",    0,"Suburban","Single",106, 8,65,0,1,"Personal Auto","Personal L2","Offer1","Web", 508.800000,"SUV","Medsize", 7004.004,-1.1050209702,-1.1050209702,0.0011446066,2.331992e-04,-3.740652e-02,-1.355855e-02, 7.726613e-03, 6.601953e-03, 1.266591e-02, 9.935717e-03,-2.910467e-02,1.0009193
"3254", 2450.881,"No","Basic","Bachelor","Employed","M",82695,"Urban","Divorced", 62,10,39,0,1,"Personal Auto","Personal L2","Offer3","Web", 217.945243,"Four-Door Car","Medsize", 4389.620,-0.6834263535,-0.6834263535,0.0005915309,4.607932e-05,-1.662681e-02,-1.406385e-02, 7.510796e-03, 4.292318e-03, 7.951522e-03, 7.462431e-03, 8.915302e-04,1.0011382
"3255", 5666.696,"No","Premium","College","Employed","F",48156,"Suburban","Divorced",143, 9,20,0,1,"Personal Auto","Personal L3","Offer1","Web", 686.400000,"SUV","Medsize", 8684.348,-1.0641414356,-1.0641414356,0.0012043918,2.275772e-04,-3.695260e-02, 2.707052e-03,-1.109733e-02, 6.412178e-03, 1.189526e-02, 8.873688e-03,-1.965418e-02,1.0010701
"3256", 7298.584,"No","Basic","Bachelor","Employed","M",74069,"Urban","Divorced", 63,33,81,2,2,"Personal Auto","Personal L3","Offer1","Agent", 275.516438,"Two-Door Car","Medsize", 4459.779, 1.0009243920, 1.0009243920,0.0009304714,1.555100e-04, 3.054604e-02, 1.452693e-02,-1.052690e-02, 2.200919e-02,-6.110770e-03,-8.724446e-03,-1.260662e-03,1.0009294
"3257", 8838.086,"Yes","Basic","Bachelor","Employed","M",82664,"Rural","Married",114,24,10,3,9,"Personal Auto","Personal L3","Offer2","Agent", 133.425609,"SUV","Medsize", 9258.770,-0.1485320941,-0.1485320941,0.0038438805,1.419072e-05,-9.226597e-03, 2.888177e-03, 2.389631e-04,-5.733025e-03,-4.920764e-03,-3.662536e-03,-3.829595e-03,1.0048648
"3259", 5598.008,"No","Basic","College","Employed","F",51737,"Suburban","Single", 71,13,55,0,6,"Personal Auto","Personal L1","Offer1","Web", 430.163277,"Four-Door Car","Medsize", 6427.569,-0.2924214477,-0.2924214477,0.0006054728,8.635603e-06,-7.197606e-03,-2.115084e-03, 1.848538e-03, 1.778718e-03,-4.365647e-03, 2.664470e-03, 9.750201e-04,1.0015436
"3260",16953.084,"No","Basic","Bachelor","Employed","F",76797,"Urban","Single", 71,22, 2,0,2,"Personal Auto","Personal L3","Offer2","Call Center", 234.771653,"Four-Door Car","Medsize", 4860.547, 4.2692738793, 4.2692738793,0.0006232380,1.888888e-03, 1.066145e-01, 3.294497e-02,-2.397792e-02,-1.881101e-02,-1.930461e-02, 7.519176e-02,-1.010360e-02,0.9831486
"3261",14002.755,"No","Basic","Bachelor","Employed","M",61225,"Urban","Married",117, 3, 0,0,2,"Personal Auto","Personal L3","Offer2","Call Center", 442.374873,"SUV","Small", 7565.760, 2.2708433866, 2.2708433866,0.0013180778,1.133519e-03, 8.249813e-02,-3.170727e-03,-1.534170e-03,-9.316320e-03,-9.837478e-03, 4.447363e-02, 5.643728e-02,0.9970673
"3262", 2807.049,"No","Basic","High School or Below","Employed","M",80915,"Urban","Married", 70,17,66,0,1,"Corporate Auto","Corporate L2","Offer2","Branch", 187.854818,"Four-Door Car","Medsize", 4489.289,-0.5930353779,-0.5930353779,0.0007047795,4.134447e-05,-1.574927e-02,-5.969554e-03, 3.661279e-03, 2.637231e-03, 5.828881e-03,-1.023913e-02, 1.263652e-03,1.0013700
"3264", 6057.072,"Yes","Extended","Bachelor","Retired","M",27681,"Suburban","Married", 83,13,62,0,9,"Personal Auto","Personal L3","Offer2","Agent", 398.400000,"Two-Door Car","Medsize", 7686.427,-0.5746592484,-0.5746592484,0.0016383651,9.033208e-05,-2.327940e-02, 6.167541e-03,-3.663322e-04, 2.373534e-03,-1.878010e-02,-1.157504e-02, 2.921173e-03,1.0023285
"3268",12885.787,"No","Basic","College","Employed","M",37050,"Suburban","Married",110, 4,75,1,2,"Personal Auto","Personal L3","Offer1","Agent", 528.000000,"Sports Car","Medsize", 6744.820, 2.1654755804, 2.1654755804,0.0005353161,4.183355e-04, 5.011581e-02,-5.287864e-03, 2.522362e-02, 1.690724e-02,-1.267893e-02,-1.908654e-02,-2.467181e-02,0.9967632
"3269", 5551.395,"No","Basic","College","Employed","F",56872,"Urban","Married", 69,20,99,0,9,"Personal Auto","Personal L1","Offer1","Agent", 192.879457,"Two-Door Car","Medsize", 7314.269,-0.6216620067,-0.6216620067,0.0013447037,8.673889e-05,-2.281181e-02,-1.360449e-03, 4.355434e-03, 3.702606e-03,-1.916110e-02, 5.073268e-03, 1.852414e-03,1.0019760
"3270", 5439.342,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single", 82,12,40,0,6,"Personal Auto","Personal L3","Offer1","Branch", 590.400000,"Four-Door Car","Small", 6927.131,-0.5244462328,-0.5244462328,0.0005668434,2.600242e-05,-1.248980e-02,-1.484204e-03, 5.998739e-04, 3.197946e-03,-7.873763e-03, 4.676767e-03, 2.975272e-03,1.0013104
"3271", 4454.104,"No","Basic","College","Unemployed","F",    0,"Suburban","Single", 68, 5,72,1,3,"Personal Auto","Personal L3","Offer1","Branch", 326.400000,"Four-Door Car","Large", 5163.245,-0.2499507568,-0.2499507568,0.0004282468,4.461772e-06,-5.173620e-03,-3.104227e-03, 2.007985e-03,-1.976396e-03, 2.196247e-04, 2.305707e-03, 6.213761e-04,1.0013896
"3272", 5195.825,"No","Basic","College","Employed","M",69488,"Suburban","Divorced", 68,13,25,3,3,"Personal Auto","Personal L2","Offer1","Branch", 326.400000,"Four-Door Car","Medsize", 4862.147, 0.1176841455, 0.1176841455,0.0016705592,3.863187e-06, 4.814065e-03, 1.024626e-03,-9.557354e-04, 4.254558e-03,-7.708932e-05,-8.676292e-04,-2.596493e-04,1.0026857
"3274",16570.090,"No","Extended","Bachelor","Employed","M",23589,"Suburban","Married",211,30,13,0,6,"Special Auto","Special L2","Offer2","Agent",1012.800000,"Luxury SUV","Small",12521.981, 1.4300118067, 1.4300118067,0.0045262781,1.549394e-03, 9.642626e-02,-8.040272e-02, 8.686745e-02,-6.348503e-03, 2.543181e-02, 3.066348e-02,-4.617747e-02,1.0034724
"3276", 2743.554,"No","Basic","Doctor","Employed","F",95782,"Urban","Married", 68, 6,22,1,1,"Personal Auto","Personal L3","Offer3","Call Center", 247.847239,"Four-Door Car","Medsize", 4511.559,-0.6232265710,-0.6232265710,0.0005591116,3.621825e-05,-1.474065e-02,-1.016942e-02, 5.114787e-03,-4.875836e-03, 7.152464e-03, 6.160419e-03, 1.520503e-03,1.0011864
"3277", 8139.001,"No","Basic","Bachelor","Medical Leave","F",24992,"Suburban","Married",106,24, 8,0,3,"Personal Auto","Personal L3","Offer1","Agent", 508.800000,"SUV","Small", 7655.690, 0.1704020318, 0.1704020318,0.0010141172,4.913592e-06, 5.429242e-03, 1.426447e-03,-1.161952e-03,-1.003663e-03,-1.467510e-04,-1.419657e-03, 4.479939e-03,1.0020112
"3279", 7218.085,"No","Basic","College","Unemployed","M",    0,"Suburban","Single",104,29, 4,0,3,"Personal Auto","Personal L3","Offer3","Call Center", 748.800000,"SUV","Small", 7564.861,-0.1222639586,-0.1222639586,0.0010278309,2.563817e-06,-3.921774e-03,-1.121383e-03, 9.488316e-04, 7.197993e-04, 1.071731e-04, 1.022929e-03,-3.266398e-03,1.0020395
"3280", 4861.369,"No","Basic","High School or Below","Employed","M",36305,"Suburban","Married", 61,19,61,0,9,"Personal Auto","Personal L1","Offer4","Branch", 292.800000,"Four-Door Car","Small", 6950.951,-0.7369073051,-0.7369073051,0.0014115869,1.279468e-04,-2.770597e-02,-3.973318e-03, 7.939014e-03, 4.381025e-03,-2.266871e-02, 6.117998e-03, 9.418508e-04,1.0018824
"3285", 7996.604,"No","Basic","Master","Employed","F",43657,"Suburban","Married", 66,21,74,0,2,"Personal Auto","Personal L1","Offer1","Agent", 316.800000,"Two-Door Car","Large", 4897.122, 1.0925957899, 1.0925957899,0.0004588711,9.133631e-05, 2.341017e-02, 1.860433e-02,-9.855323e-03,-6.821754e-03,-6.888467e-03,-1.149208e-02,-2.379787e-03,1.0002606
"3289", 4882.494,"No","Basic","College","Employed","F",80604,"Urban","Married", 61,22,86,0,3,"Corporate Auto","Corporate L3","Offer4","Web", 255.982609,"Four-Door Car","Medsize", 4995.892,-0.0399699746,-0.0399699746,0.0004677154,1.246164e-07,-8.646220e-04,-6.827027e-04, 4.511413e-04, 2.476020e-04, 4.174683e-05, 4.107581e-04, 4.549492e-05,1.0014916
"3290", 5363.528,"No","Basic","High School or Below","Employed","F",64604,"Urban","Married", 67,18,71,1,8,"Personal Auto","Personal L3","Offer1","Web", 272.445607,"Four-Door Car","Medsize", 6747.047,-0.4878174567,-0.4878174567,0.0010906465,4.330897e-05,-1.611893e-02,-1.501626e-03, 3.938948e-03,-3.961812e-03,-1.249537e-02, 3.705573e-03, 1.165999e-03,1.0018736
"3291", 3548.398,"No","Premium","College","Unemployed","M",    0,"Suburban","Single",103,17,18,0,1,"Corporate Auto","Corporate L2","Offer2","Web", 741.600000,"Four-Door Car","Small", 5987.975,-0.8600671332,-0.8600671332,0.0007542365,9.306106e-05,-2.362925e-02, 2.703483e-03,-8.050338e-03, 3.863929e-03, 8.235749e-03,-1.535066e-02, 7.868184e-03,1.0010216
"3293",11293.982,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Married",104,19,32,0,2,"Personal Auto","Personal L3","Offer1","Call Center", 499.200000,"SUV","Medsize", 7239.017, 1.4299497896, 1.4299497896,0.0010651758,3.633264e-04, 4.669419e-02, 1.590259e-02,-1.122101e-02,-8.478800e-03,-8.832541e-03,-1.243561e-02, 3.823638e-02,0.9999958
"3294", 7258.993,"No","Basic","High School or Below","Employed","M",60969,"Rural","Married", 61, 9, 5,0,2,"Corporate Auto","Corporate L3","Offer2","Web", 146.119178,"Four-Door Car","Medsize", 4406.400, 1.0056698511, 1.0056698511,0.0006982196,1.177753e-04, 2.658295e-02, 1.178633e-02,-1.038230e-02,-4.417429e-03,-4.624793e-03, 1.753542e-02,-2.415915e-04,1.0006871
"3295", 2695.455,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single", 76,33,84,0,1,"Corporate Auto","Corporate L1","Offer1","Web", 547.200000,"Four-Door Car","Small", 5025.426,-0.8213125692,-0.8213125692,0.0004901748,5.513834e-05,-1.818823e-02,-1.229836e-02, 3.613786e-03, 5.173906e-03, 9.467022e-03, 8.764757e-03, 3.516160e-03,1.0008240
"3296", 6063.200,"No","Extended","College","Employed","M",20676,"Suburban","Single", 79,28,27,0,7,"Personal Auto","Personal L3","Offer3","Agent", 379.200000,"Four-Door Car","Medsize", 7116.730,-0.3714012751,-0.3714012751,0.0007589031,1.746286e-05,-1.023532e-02,-7.734076e-04, 9.172378e-04, 2.247774e-03,-7.536216e-03, 3.209481e-03, 1.878911e-03,1.0016436
"3298",12390.478,"No","Basic","Bachelor","Medical Leave","M",14382,"Suburban","Married", 66, 8,48,0,2,"Personal Auto","Personal L3","Offer3","Agent", 316.800000,"Four-Door Car","Medsize", 4897.122, 2.6427818165, 2.6427818165,0.0004588711,5.338485e-04, 5.662475e-02, 4.500034e-02,-2.383815e-02,-1.650053e-02,-1.666189e-02,-2.779717e-02,-5.756253e-03,0.9943488
"3299", 3677.784,"No","Extended","High School or Below","Employed","M",32314,"Suburban","Married", 92, 7,80,0,1,"Personal Auto","Personal L1","Offer2","Agent", 662.400000,"Four-Door Car","Medsize", 5488.413,-0.6382925260,-0.6382925260,0.0006841674,4.649345e-05,-1.670127e-02,-8.041505e-04,-2.669311e-03, 2.857811e-03, 6.165806e-03,-1.126812e-02, 4.346098e-03,1.0012922
"3300", 6104.849,"No","Extended","High School or Below","Employed","M",62455,"Urban","Married", 77,27,85,1,5,"Personal Auto","Personal L2","Offer2","Branch", 338.144854,"Two-Door Car","Small", 5960.016, 0.0510582554, 0.0510582554,0.0007879392,3.426807e-07, 1.433783e-03,-1.220443e-04,-1.314429e-04, 5.016643e-04, 5.889300e-04, 1.002654e-03,-1.823704e-04,1.0018115
"3301", 2991.424,"No","Basic","Master","Employed","F",35605,"Suburban","Married", 74, 0,95,0,1,"Personal Auto","Personal L3","Offer3","Agent", 355.200000,"Two-Door Car","Medsize", 4934.597,-0.6849578859,-0.6849578859,0.0004993401,3.906873e-05,-1.530984e-02,-1.080493e-02, 3.658615e-03, 4.313064e-03, 7.905858e-03, 7.333826e-03, 2.641143e-03,1.0010437
"3302", 8034.520,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Married",103,16,50,0,7,"Personal Auto","Personal L3","Offer2","Agent", 741.600000,"SUV","Medsize", 8559.170,-0.1850533243,-0.1850533243,0.0018369043,1.050508e-05,-7.938517e-03, 1.024957e-03, 1.265216e-03, 7.168786e-04,-4.084241e-03,-3.884703e-03,-5.130054e-03,1.0028318
"3304", 7284.262,"No","Basic","College","Medical Leave","M",10334,"Urban","Married", 64, 5,80,0,2,"Personal Auto","Personal L1","Offer3","Agent", 296.962938,"Four-Door Car","Medsize", 4806.293, 0.8734826797, 0.8734826797,0.0004767306,6.065338e-05, 1.907631e-02, 1.557268e-02,-8.701205e-03,-5.451337e-03,-5.520493e-03,-9.218315e-03,-1.531112e-03,1.0007199
"3305", 2728.038,"No","Basic","High School or Below","Employed","M",44025,"Suburban","Single", 69, 0,75,0,1,"Personal Auto","Personal L3","Offer1","Branch", 331.200000,"Two-Door Car","Medsize", 4707.523,-0.6977695996,-0.6977695996,0.0005300033,4.303479e-05,-1.606817e-02,-1.240360e-02, 5.369224e-03, 4.388997e-03, 8.080646e-03, 7.532656e-03, 1.948763e-03,1.0010563
"3306", 7519.030,"No","Basic","Bachelor","Employed","F",32397,"Rural","Married",190,14,95,0,1,"Corporate Auto","Corporate L1","Offer1","Agent", 334.626758,"Luxury SUV","Small",10202.704,-0.9471513279,-0.9471513279,0.0028957949,4.342325e-04,-5.104262e-02, 2.906843e-02,-4.670919e-02, 6.122780e-03, 1.010058e-02, 8.212986e-03, 2.704541e-02,1.0030099
"3308", 4583.748,"No","Basic","Master","Employed","M",94804,"Suburban","Married",115,13,79,4,1,"Personal Auto","Personal L2","Offer1","Branch", 764.592151,"SUV","Medsize", 6810.538,-0.7861666094,-0.7861666094,0.0036127403,3.735208e-04,-4.733898e-02,-9.662570e-04, 2.298592e-03,-3.973386e-02, 8.615086e-03, 4.028495e-03,-1.966797e-02,1.0040185
"3309",11638.899,"Yes","Basic","College","Medical Leave","F",25370,"Suburban","Married",102,10,77,0,2,"Corporate Auto","Corporate L1","Offer1","Branch", 489.600000,"Sports Car","Large", 6532.052, 1.8005085073, 1.8005085073,0.0004403018,2.379111e-04, 3.778906e-02, 4.715845e-03, 1.426648e-02,-1.133090e-02,-1.085382e-02,-1.779454e-02,-1.770313e-02,0.9981464
"3311", 8478.278,"No","Premium","College","Employed","M",53234,"Suburban","Single",109,27,37,0,7,"Personal Auto","Personal L1","Offer1","Call Center",1212.988796,"Four-Door Car","Small", 8479.171,-0.0003149350,-0.0003149350,0.0008884804,1.470275e-11,-9.391561e-06, 3.126383e-06,-3.669939e-06, 1.919176e-06,-6.463418e-06, 2.555014e-06, 3.602619e-06,1.0019150
"3312", 3923.265,"No","Premium","High School or Below","Unemployed","M",    0,"Suburban","Single",108, 2,38,0,1,"Personal Auto","Personal L2","Offer3","Branch", 912.581597,"Four-Door Car","Small", 6478.697,-0.9008404004,-0.9008404004,0.0005844326,7.909459e-05,-2.178422e-02,-1.951605e-03,-9.604621e-03, 5.714884e-03, 1.016284e-02, 9.105404e-03, 9.986342e-03,1.0007780
"3314", 3857.947,"No","Extended","Bachelor","Unemployed","F",    0,"Suburban","Single",121,12,67,2,1,"Personal Auto","Personal L2","Offer1","Web",1032.204305,"SUV","Medsize", 7384.126,-1.2437291460,-1.2437291460,0.0015538223,4.011775e-04,-4.906414e-02,-3.165751e-03, 1.567882e-05,-2.766330e-02, 1.383661e-02, 8.545411e-03,-2.914572e-02,1.0009954
"3319", 4152.653,"No","Extended","Bachelor","Unemployed","M",    0,"Suburban","Single",123,33,13,0,1,"Personal Auto","Personal L2","Offer1","Agent", 885.600000,"SUV","Medsize", 7776.054,-1.2777379085,-1.2777379085,0.0010967930,2.987354e-04,-4.233918e-02,-6.980919e-03,-1.292642e-03, 7.663607e-03, 1.447842e-02, 1.110515e-02,-2.903310e-02,1.0004496
"3320", 7166.343,"No","Extended","Bachelor","Employed","F",59253,"Rural","Divorced", 89,17,70,0,3,"Personal Auto","Personal L1","Offer2","Agent",  67.801384,"Four-Door Car","Medsize", 6003.856, 0.4097769345, 0.4097769345,0.0005815009,1.628578e-05, 9.884370e-03,-5.887184e-04, 1.205799e-03,-1.798424e-03, 3.751555e-04, 7.482196e-03,-2.547635e-03,1.0014350
"3321", 5048.051,"No","Extended","High School or Below","Employed","F",34452,"Suburban","Married",126, 2,51,0,1,"Personal Auto","Personal L1","Offer4","Agent", 604.800000,"SUV","Large", 7912.298,-1.0099831215,-1.0099831215,0.0011016404,1.874969e-04,-3.354080e-02,-4.304975e-03,-2.448301e-03, 6.061860e-03, 1.142117e-02, 8.724586e-03,-2.230473e-02,1.0010823
"3322", 4579.606,"No","Premium","Bachelor","Employed","M",40160,"Suburban","Married",118, 7,48,1,1,"Personal Auto","Personal L2","Offer2","Call Center", 566.400000,"Four-Door Car","Small", 6518.646,-0.6836751415,-0.6836751415,0.0010078829,7.860241e-05,-2.171570e-02, 7.526265e-03,-1.119985e-02,-6.564392e-03, 6.392133e-03,-1.301974e-02, 8.340220e-03,1.0015551
"3324", 4969.529,"No","Basic","High School or Below","Employed","F",62365,"Suburban","Married", 62, 0,99,0,8,"Corporate Auto","Corporate L2","Offer3","Branch", 297.600000,"Four-Door Car","Medsize", 6670.523,-0.5997667784,-0.5997667784,0.0011039707,6.626715e-05,-1.993889e-02,-4.162272e-03, 6.230032e-03, 3.591215e-03,-1.527280e-02, 5.165891e-03, 8.800874e-04,1.0017620
"3327", 8810.896,"No","Premium","Bachelor","Employed","F",76266,"Rural","Single",110,24,88,1,3,"Personal Auto","Personal L1","Offer1","Branch", 155.708627,"Two-Door Car","Medsize", 7070.664, 0.6134179430, 0.6134179430,0.0005013623,3.146135e-05, 1.373856e-02,-2.693147e-03, 7.198044e-03, 4.815062e-03,-3.411807e-04,-5.204325e-03,-7.002946e-03,1.0011410
